region,pct_migrante,region_label,region_factor
15,13.062273312159602,Arica y Parinacota,"Arica y
Parinacota"
1,18.525805701161715,Tarapacá,Tarapacá
2,16.44734800723258,Antofagasta,Antofagasta
3,7.024789474182762,Atacama,Atacama
4,4.319686298554004,Coquimbo,Coquimbo
5,4.628586144836281,Valparaíso,Valparaíso
13,11.305069912515295,Metropolitana,Metropolitana
6,4.8719219899130275,O'Higgins,O'Higgins
7,4.230148311402532,Maule,Maule
16,2.658412938471273,Ñuble,Ñuble
8,2.663061696316774,Biobío,Biobío
9,1.2234739988605234,La Araucanía,La Araucanía
14,1.4236900659210754,Los Ríos,Los Ríos
10,3.1925757642595616,Los Lagos,Los Lagos
11,2.413741626079979,Aysén,Aysén
12,5.47951288284988,Magallanes,Magallanes
