comuna,poblacion_total,poblacion_migrante,pct_migrante
1101,220243,36974,16.787820725289794
1107,159782,33449,20.93414777634527
1401,14689,2330,15.862209816869766
1402,1346,184,13.670133729569093
1403,704,237,33.66477272727273
1404,2096,549,26.192748091603054
1405,5198,1132,21.77760677183532
2101,443779,68629,15.464679491368452
2102,17432,4427,25.395823772372648
2103,763,216,28.309305373525557
2104,14679,324,2.2072348252605765
2201,192035,40292,20.981591897310388
2203,6175,1058,17.133603238866396
2301,29363,1367,4.655518850253721
2302,4788,301,6.286549707602339
3101,183091,16362,8.936539753455932
3102,17051,767,4.498269896193771
3103,14383,301,2.0927483835083085
3201,11665,172,1.4744963566223745
3202,13867,538,3.879714429941588
3301,56237,3192,5.675978448352508
3302,3465,0,0
3303,6496,0,0
3304,10452,916,8.76387294297742
4101,265642,14265,5.370009260583793
4102,301310,14143,4.693836912150277
4103,12401,74,0.5967260704781873
4104,4726,222,4.697418535759628
4105,5004,0,0
4106,29607,1154,3.8977268889114063
4201,28227,929,3.2911751160236653
4202,9610,0,0
4203,22088,1109,5.020825787758059
4204,25596,1102,4.305360212533208
4301,107580,3885,3.611266034578918
4302,12225,54,0.44171779141104295
4303,30650,781,2.5481239804241436
4304,14446,45,0.3115049148553233
4305,5095,0,0
5101,338820,12081,3.5656100584381085
5102,27901,2628,9.419017239525465
5103,47723,2226,4.664417576430652
5105,16611,1673,10.071639275179098
5107,26984,97,0.3594722798695523
5109,388909,24120,6.201964984096537
5301,71216,4891,6.867838687935295
5302,14739,599,4.064047764434494
5303,8404,0,0
5304,17761,0,0
5401,69676,1186,1.70216430334692
5402,14307,106,0.7408960648633536
5403,7272,0,0
5404,8136,47,0.5776794493608652
5405,8475,211,2.489675516224189
5501,94066,7713,8.199562009652796
5502,58136,3320,5.710747213430577
5503,15353,102,0.664365270631147
5504,24590,928,3.773891825945506
5506,17707,81,0.4574462077144632
5601,89818,5179,5.766104789685809
5602,13651,902,6.60757453666398
5603,22641,1503,6.638399363985689
5604,11902,835,7.015627625609142
5605,10184,144,1.4139827179890023
5606,11782,401,3.403496859616364
5701,74516,5966,8.006334210102528
5702,13363,754,5.642445558632044
5703,22966,606,2.638683270922233
5704,6547,60,0.9164502825721704
5705,10799,0,0
5706,17769,415,2.3355281670324723
5801,189067,6786,3.589203827214691
5802,56072,1588,2.832073048937081
5803,15776,502,3.1820486815415823
5804,159975,5089,3.1811220503203628
6101,279801,18660,6.669025485970386
6102,12624,924,7.319391634980988
6103,8943,68,0.7603712400760371
6104,21895,577,2.635304864124229
6105,25113,1418,5.646477919802493
6106,38886,3101,7.974592398292445
6107,26116,2081,7.96829529790167
6108,67270,2726,4.052326445666716
6109,15501,561,3.6191213470098704
6110,25849,610,2.3598591821733916
6111,16768,56,0.33396946564885494
6112,14026,56,0.3992585198916298
6113,19483,533,2.7357183185341065
6114,13127,0,0
6115,64824,5036,7.7687276317413305
6116,24724,268,1.0839669956317748
6117,46475,1424,3.064012910166756
6201,18219,961,5.274713211482518
6202,3828,0,0
6203,8620,465,5.3944315545243615
6204,8382,0,0
6205,6432,192,2.985074626865672
6206,8419,0,0
6301,91587,4094,4.470066712524703
6302,14018,648,4.62262804965045
6303,37530,1280,3.41060484945377
6304,8011,667,8.326051678941456
6305,19634,705,3.590709992869512
6306,13619,204,1.4979073353403334
6307,12206,0,0
6308,7997,89,1.1129173440040014
6309,3807,0,0
6310,40954,2518,6.1483615764027935
7101,256429,24979,9.741097925741629
7102,53955,530,0.9823000648688722
7103,9377,64,0.682521062173403
7104,4636,92,1.9844693701466782
7105,69500,2323,3.3424460431654675
7106,8835,0,0
7107,7910,0,0
7108,13500,0,0
7109,40719,646,1.586482968638719
7110,14946,0,0
7201,42384,261,0.6157984144960362
7202,10011,496,4.954549995005494
7203,9421,381,4.04415667126632
7301,170348,11077,6.502571207175898
7302,11582,266,2.2966672422724916
7303,6442,0,0
7304,54238,1984,3.6579519893801393
7305,11031,88,0.7977517904088478
7306,24687,847,3.4309555636569855
7307,18365,0,0
7308,29285,758,2.5883558135564284
7309,6020,212,3.521594684385382
7401,97397,2273,2.333747446019898
7402,16764,0,0
7403,28948,61,0.2107226751416333
7404,40867,0,0
7405,23892,0,0
7406,48975,1852,3.781521184277693
7407,19043,176,0.9242241243501549
7408,17497,0,0
8101,250425,15782,6.302086453029849
8102,129065,1766,1.3683027931662342
8103,99560,2337,2.3473282442748094
8104,11665,0,0
8105,22512,64,0.28429282160625446
8106,39586,819,2.0689132521598546
8107,52246,434,0.8306856027255675
8108,172103,7506,4.361341754646927
8109,18604,420,2.2575790152655344
8110,162922,4394,2.6969961085672898
8111,51395,56,0.10896001556571651
8112,107878,1629,1.5100391182632233
8201,26822,536,1.998359555588696
8202,32471,57,0.17554125219426564
8203,29004,371,1.2791339125637844
8204,5519,192,3.478891103460772
8205,31578,332,1.0513648742795618
8206,19361,143,0.7385982129022262
8207,10314,172,1.6676362226100445
8301,226992,7359,3.2419644745189258
8302,3849,68,1.7666926474408937
8303,25218,0,0
8304,17132,0,0
8305,27181,0,0
8306,26633,119,0.44681410280479106
8307,8537,0,0
8308,4364,0,0
8309,9212,0,0
8310,3648,0,0
8311,12467,98,0.7860752386299832
8312,13998,0,0
8313,21040,73,0.34695817490494296
8314,6232,0,0
9101,326830,7368,2.254383012575345
9102,24424,79,0.32345234195872913
9103,16967,0,0
