year,grupo,hac_key,hac_cat,w_n,pct
2009,Chilenos,sin_hacinamiento,Sin hacinamiento,14270840,86.4908881727733
2009,Chilenos,hacinamiento_medio,Hacinamiento medio,2038158,12.352608231641813
2009,Chilenos,hacinamiento_critico,Hacinamiento crítico,190821,1.156503595584897
2009,Migrantes,sin_hacinamiento,Sin hacinamiento,174204,79.83099314440737
2009,Migrantes,hacinamiento_medio,Hacinamiento medio,36725,16.82965502071342
2009,Migrantes,hacinamiento_critico,Hacinamiento crítico,7287,3.3393518348792024
2011,Chilenos,sin_hacinamiento,Sin hacinamiento,14405515,86.30634223192504
2011,Chilenos,hacinamiento_medio,Hacinamiento medio,2061131,12.348651018087857
2011,Chilenos,hacinamiento_critico,Hacinamiento crítico,224497,1.345006749987104
2011,Migrantes,sin_hacinamiento,Sin hacinamiento,151443,76.57260449900646
2011,Migrantes,hacinamiento_medio,Hacinamiento medio,33985,17.183494541832466
2011,Migrantes,hacinamiento_critico,Hacinamiento crítico,12349,6.243900959161075
2013,Chilenos,sin_hacinamiento,Sin hacinamiento,14624435,88.07830231713004
2013,Chilenos,hacinamiento_medio,Hacinamiento medio,1588895,9.569407239334465
2013,Chilenos,hacinamiento_critico,Hacinamiento crítico,390572,2.3522904435355017
2013,Migrantes,sin_hacinamiento,Sin hacinamiento,189988,77.78391900135516
2013,Migrantes,hacinamiento_medio,Hacinamiento medio,35048,14.349173596013937
2013,Migrantes,hacinamiento_critico,Hacinamiento crítico,19215,7.8669074026309005
2015,Chilenos,sin_hacinamiento,Sin hacinamiento,15254222,90.2734896587346
2015,Chilenos,hacinamiento_medio,Hacinamiento medio,1342184,7.9429572641671955
2015,Chilenos,hacinamiento_critico,Hacinamiento crítico,301381,1.7835530770982022
2015,Migrantes,sin_hacinamiento,Sin hacinamiento,273729,77.01629353688766
2015,Migrantes,hacinamiento_medio,Hacinamiento medio,55385,15.58310379075846
2015,Migrantes,hacinamiento_critico,Hacinamiento crítico,26303,7.400602672353883
2020,Chilenos,sin_hacinamiento,Sin hacinamiento,17329869,93.4924702656091
2020,Chilenos,hacinamiento_medio,Hacinamiento medio,1010886,5.453603215172632
2020,Chilenos,hacinamiento_critico,Hacinamiento crítico,195357,1.0539265192182696
2020,Migrantes,sin_hacinamiento,Sin hacinamiento,643881,82.40242338613695
2020,Migrantes,hacinamiento_medio,Hacinamiento medio,109682,14.03685246472294
2020,Migrantes,hacinamiento_critico,Hacinamiento crítico,27823,3.5607241491401176
2022,Chilenos,sin_hacinamiento,Sin hacinamiento,17011801,94.63103865399401
2022,Chilenos,hacinamiento_medio,Hacinamiento medio,805120,4.478617040083155
2022,Chilenos,hacinamiento_critico,Hacinamiento crítico,160057,0.8903443059228309
2022,Migrantes,sin_hacinamiento,Sin hacinamiento,1234882,78.07560337344127
2022,Migrantes,hacinamiento_medio,Hacinamiento medio,256827,16.237926366722327
2022,Migrantes,hacinamiento_critico,Hacinamiento crítico,89940,5.686470259836411
2024,Chilenos,sin_hacinamiento,Sin hacinamiento,17365404,95.07251156570025
2024,Chilenos,hacinamiento_medio,Hacinamiento medio,784130,4.292972884132873
2024,Chilenos,hacinamiento_critico,Hacinamiento crítico,115897,0.6345155501668699
2024,Migrantes,sin_hacinamiento,Sin hacinamiento,1237098,83.37498382505176
2024,Migrantes,hacinamiento_medio,Hacinamiento medio,198699,13.391441834886129
2024,Migrantes,hacinamiento_critico,Hacinamiento crítico,47979,3.2335743400621118
