region_nombre,total_region,migrantes,share_migrantes,region_code
Arica y Parinacota,261967,33601,0.12826424702348005,15
Tarapacá,408188,74855,0.18338363695160073,1
Antofagasta,719381,116614,0.16210325265749304,2
Atacama,320250,22248,0.06947072599531616,3
Coquimbo,883306,37763,0.042751888926374326,4
Valparaíso,2031176,92739,0.04565778642520392,5
Metropolitana,8440052,934466,0.11071803823009621,13
O'Higgins,1028597,49922,0.04853407116684182,6
Maule,1175652,49366,0.041990316862472905,7
Ñuble,522483,13781,0.026375977783009208,16
Biobío,1687832,44727,0.026499675323136424,8
La Araucanía,1033591,12541,0.012133426084398954,9
Los Ríos,413246,5829,0.01410539968928919,14
Los Lagos,913940,28949,0.03167494583889533,10
Aysén,108562,2587,0.02382970100035003,11
Magallanes,183459,9872,0.053810388152121184,12
