edad_tramo,sexo,personas,personas_plot
0 a 4,Hombres,14204,-14204
0 a 4,Mujeres,12120,12120
10 a 14,Hombres,52203,-52203
10 a 14,Mujeres,52065,52065
15 a 19,Hombres,47387,-47387
15 a 19,Mujeres,41609,41609
20 a 24,Hombres,49270,-49270
20 a 24,Mujeres,52036,52036
25 a 29,Hombres,87727,-87727
25 a 29,Mujeres,90208,90208
30 a 34,Hombres,120765,-120765
30 a 34,Mujeres,117494,117494
35 a 39,Hombres,121239,-121239
35 a 39,Mujeres,104770,104770
40 a 44,Hombres,79201,-79201
40 a 44,Mujeres,87535,87535
45 a 49,Hombres,55725,-55725
45 a 49,Mujeres,60132,60132
5 a 9,Hombres,36577,-36577
5 a 9,Mujeres,36857,36857
50 a 54,Hombres,35988,-35988
50 a 54,Mujeres,40972,40972
55 a 59,Hombres,23699,-23699
55 a 59,Mujeres,30808,30808
60 a 64,Hombres,11991,-11991
60 a 64,Mujeres,18769,18769
65 a 69,Hombres,7801,-7801
65 a 69,Mujeres,13459,13459
70 a 74,Hombres,5186,-5186
70 a 74,Mujeres,10731,10731
75 a 79,Hombres,2257,-2257
75 a 79,Mujeres,3800,3800
80 o m<c3><a1>s,Hombres,2773,-2773
80 o m<c3><a1>s,Mujeres,2502,2502
