region,year,total_personas,migrantes,share_migrantes,region_label,region_plot
1,2017,0,0,0,Tarapacá,Tarapacá
1,2024,369806,84935,0.22967447796952997,Tarapacá,Tarapacá
2,2017,0,0,0,Antofagasta,Antofagasta
2,2024,635416,124006,0.19515718836164025,Antofagasta,Antofagasta
3,2017,0,0,0,Atacama,Atacama
3,2024,299180,25167,0.0841199278026606,Atacama,Atacama
4,2017,0,0,0,Coquimbo,Coquimbo
4,2024,832864,44578,0.05352374457294348,Coquimbo,Coquimbo
5,2017,0,0,0,Valparaíso,Valparaíso
5,2024,1896053,100655,0.053086596208017395,Valparaíso,Valparaíso
6,2017,0,0,0,O'Higgins,O'Higgins
6,2024,987228,49272,0.049909443411248464,O'Higgins,O'Higgins
7,2017,209943,632,0.003010340902054367,Maule,Maule
7,2024,1123008,42349,0.03771032797629224,Maule,Maule
8,2017,2006441,8407,0.004190006085401963,Biobío,Biobío
8,2024,1613059,46933,0.029095649942128588,Biobío,Biobío
9,2017,937920,4122,0.004394831115660185,La Araucanía,La Araucanía
9,2024,1010423,21077,0.02085958059149485,La Araucanía,La Araucanía
10,2017,812758,3889,0.004784942135297346,Los Lagos,Los Lagos
10,2024,890284,35285,0.03963342034676575,Los Lagos,Los Lagos
11,2017,101353,653,0.0064428285299892455,Aysén,Aysén
11,2024,100745,3931,0.039019306169040646,Aysén,Aysén
12,2017,164136,3815,0.023242920504947116,Magallanes,Magallanes
12,2024,166537,10997,0.06603337396494473,Magallanes,Magallanes
13,2017,6984722,223267,0.0319650517228889,Metropolitana,Metropolitana
13,2024,7400741,964835,0.1303700534851848,Metropolitana,Metropolitana
14,2017,376721,1820,0.004831161522718405,Los Ríos,Los Ríos
14,2024,398230,7508,0.018853426411872536,Los Ríos,Los Ríos
15,2017,221331,1257,0.005679276739363216,Arica y Parinacota,"Arica y
Parinacota"
15,2024,244569,36188,0.14796642256377546,Arica y Parinacota,"Arica y
Parinacota"
16,2017,0,0,0,Ñuble,Ñuble
16,2024,512289,10934,0.02134342138909873,Ñuble,Ñuble
