year,region,region_label,share_migrantes
2017,1,Tarapacá,0
2024,1,Tarapacá,0.22967447796952997
2017,2,Antofagasta,0
2024,2,Antofagasta,0.19515718836164025
2017,3,Atacama,0
2024,3,Atacama,0.0841199278026606
2017,4,Coquimbo,0
2024,4,Coquimbo,0.05352374457294348
2017,5,Valparaíso,0
2024,5,Valparaíso,0.053086596208017395
2017,6,O'Higgins,0
2024,6,O'Higgins,0.049909443411248464
2017,7,Maule,0.003010340902054367
2024,7,Maule,0.03771032797629224
2017,8,Biobío,0.004190006085401963
2024,8,Biobío,0.029095649942128588
2017,9,La Araucanía,0.004394831115660185
2024,9,La Araucanía,0.02085958059149485
2017,10,Los Lagos,0.004784942135297346
2024,10,Los Lagos,0.03963342034676575
2017,11,Aysén,0.0064428285299892455
2024,11,Aysén,0.039019306169040646
2017,12,Magallanes,0.023242920504947116
2024,12,Magallanes,0.06603337396494473
2017,13,Metropolitana,0.0319650517228889
2024,13,Metropolitana,0.1303700534851848
2017,14,Los Ríos,0.004831161522718405
2024,14,Los Ríos,0.018853426411872536
2017,15,Arica y Parinacota,0.005679276739363216
2024,15,Arica y Parinacota,0.14796642256377546
2017,16,Ñuble,0
2024,16,Ñuble,0.02134342138909873
