region,region_label,total_personas,migrantes,year,share_migrantes,region_plot
15,Arica y Parinacota,244569,36188,2024,0.14796642256377546,"Arica y
Parinacota"
1,Tarapacá,369806,84935,2024,0.22967447796952997,Tarapacá
2,Antofagasta,635416,124006,2024,0.19515718836164025,Antofagasta
3,Atacama,299180,25167,2024,0.0841199278026606,Atacama
4,Coquimbo,832864,44578,2024,0.05352374457294348,Coquimbo
5,Valparaíso,1896053,100655,2024,0.053086596208017395,Valparaíso
13,Metropolitana,7400741,964835,2024,0.1303700534851848,Metropolitana
6,O'Higgins,987228,49272,2024,0.049909443411248464,O'Higgins
7,Maule,1123008,42349,2024,0.03771032797629224,Maule
16,Ñuble,512289,10934,2024,0.02134342138909873,Ñuble
8,Biobío,1613059,46933,2024,0.029095649942128588,Biobío
9,La Araucanía,1010423,21077,2024,0.02085958059149485,La Araucanía
14,Los Ríos,398230,7508,2024,0.018853426411872536,Los Ríos
10,Los Lagos,890284,35285,2024,0.03963342034676575,Los Lagos
11,Aysén,100745,3931,2024,0.039019306169040646,Aysén
12,Magallanes,166537,10997,2024,0.06603337396494473,Magallanes
