region,comuna,migrantes,year,comuna_label,region_label,label_txt
13,13101,176956,2024,Santiago,Metropolitana,Santiago (RM)
2,2101,76793,2024,Antofagasta,Antofagasta,Antofagasta (Antofagasta)
13,13106,69328,2024,Estación Central,Metropolitana,Estación Central (RM)
13,13108,51908,2024,Independencia,Metropolitana,Independencia (RM)
1,1101,40655,2024,Iquique,Tarapacá,Iquique (Tarapacá)
13,13130,39266,2024,San Miguel,Metropolitana,San Miguel (RM)
1,1107,37628,2024,Alto Hospicio,Tarapacá,Alto Hospicio (Tarapacá)
13,13110,36685,2024,La Florida,Metropolitana,La Florida (RM)
13,13126,35630,2024,Quinta Normal,Metropolitana,Quinta Normal (RM)
15,15101,35592,2024,Arica,Arica y Parinacota,Arica (Arica y Parinacota)
2,2201,35221,2024,Calama,Antofagasta,Calama (Antofagasta)
13,13127,34009,2024,Recoleta,Metropolitana,Recoleta (RM)
13,13120,33633,2024,Ñuñoa,Metropolitana,Ñuñoa (RM)
13,13114,31069,2024,Las Condes,Metropolitana,Las Condes (RM)
13,13119,30973,2024,Maipú,Metropolitana,Maipú (RM)
