sex,age5,n,year
Hombres,0,3858,2017
Hombres,5,5161,2017
Hombres,10,4289,2017
Hombres,15,4516,2017
Hombres,20,13614,2017
Hombres,25,26692,2017
Hombres,30,25013,2017
Hombres,35,17560,2017
Hombres,40,10869,2017
Hombres,45,6621,2017
Hombres,50,4501,2017
Hombres,55,2828,2017
Hombres,60,2091,2017
Hombres,65,1666,2017
Hombres,70,1454,2017
Hombres,75,1038,2017
Hombres,80,784,2017
Hombres,85,910,2017
Mujeres,0,3706,2017
Mujeres,5,5078,2017
Mujeres,10,4291,2017
Mujeres,15,4441,2017
Mujeres,20,12192,2017
Mujeres,25,22165,2017
Mujeres,30,19398,2017
Mujeres,35,13778,2017
Mujeres,40,8387,2017
Mujeres,45,5503,2017
Mujeres,50,3979,2017
Mujeres,55,2920,2017
Mujeres,60,2306,2017
Mujeres,65,1844,2017
Mujeres,70,1337,2017
Mujeres,75,1011,2017
Mujeres,80,787,2017
Mujeres,85,1274,2017
