year,migrant_status,labor_force,population_15plus,share
2012,Chilenos,7749193.621768437,13531013.118546437,57.26986999330388
2012,Migrantes,125362.15632101781,180372.8814593187,69.50166527626936
2013,Chilenos,7780779.21471227,13545517.823844356,57.44172586016357
2013,Migrantes,258851.7288306618,353958.1772810891,73.13059718496054
2014,Chilenos,7875044.980250468,13702648.806525176,57.47096850720121
2014,Migrantes,278081.308557449,386039.1979870379,72.03447473921707
2015,Chilenos,7980393.694995747,13830980.036224745,57.69940867598885
2015,Migrantes,312660.68092607945,444686.9637756172,70.31028709981335
2016,Chilenos,7973026.982936632,13894945.540816238,57.38077173110149
2016,Migrantes,416903.37706982903,579450.4591857146,71.94806224775309
2017,Chilenos,8005817.410786199,13936542.824660033,57.444787502251245
2017,Migrantes,586376.7184167146,792947.1758818192,73.94902665043455
2018,Chilenos,8046237.946225731,14058396.300250217,57.23439412561246
2018,Migrantes,737365.336963983,996868.700253324,73.96815014621323
2019,Chilenos,8127661.066738419,14254650.54526449,57.01761008401917
2019,Migrantes,848248.8520002356,1138393.4547414668,74.51280121712189
2020,Chilenos,6878199.979524142,14095333.405967928,48.79771042955202
2020,Migrantes,889296.2250903536,1343340.6564540267,66.20035065698082
2021,Chilenos,7223741.318319245,14392224.246660996,50.19197307181451
2021,Migrantes,1016102.418840385,1416006.8556870327,71.75829797429773
2022,Chilenos,7810228.4238238195,14648280.97597175,53.31839576695242
2022,Migrantes,1052467.7998424007,1440916.024028309,73.04157787766565
2023,Chilenos,7993831.206468023,14786082.192234129,54.063213652812664
2023,Migrantes,1080557.5699413428,1451939.8082638895,74.42165052512644
2024,Chilenos,8196781.287792662,14915825.964713903,54.95358625920977
2024,Migrantes,1090539.5659505683,1453496.7975702733,75.028687216481
2025,Chilenos,8288174.894376791,15056486.139091559,55.04720568803886
2025,Migrantes,1103310.0676988119,1480679.8609273427,74.51374850251655
