year,migrant_status,occupied,population_15plus,share
2012,Chilenos,7052026.211632024,13531013.118546437,52.11750332254193
2012,Migrantes,119378.46862660465,180372.8814593187,66.18426653761101
2013,Chilenos,7084164.115443652,13545517.823844356,52.298953850057345
2013,Migrantes,241854.8660857622,353958.1772810891,68.32865621118219
2014,Chilenos,7136361.830148124,13702648.806525176,52.08016297367121
2014,Migrantes,257158.6358750498,386039.1979870379,66.61464359473787
2015,Chilenos,7210450.345895165,13830980.036224745,52.13260612776724
2015,Migrantes,288569.79774197884,444686.9637756172,64.89279453840412
2016,Chilenos,7176142.116647216,13894945.540816238,51.645701637098064
2016,Migrantes,389416.451808772,579450.4591857146,67.20444269834698
2017,Chilenos,7242668.288221668,13936542.824660033,51.96890203936459
2017,Migrantes,545787.1023956389,792947.1758818192,68.83019689031379
2018,Chilenos,7278614.452032851,14058396.300250217,51.77414476431642
2018,Migrantes,697615.9246584865,996868.700253324,69.98072308632105
2019,Chilenos,7297705.093493626,14254650.54526449,51.19525778846948
2019,Migrantes,794129.6126112178,1138393.4547414668,69.75879993895147
2020,Chilenos,5772606.973561892,14095333.405967928,40.95402930389561
2020,Migrantes,784861.2087786881,1343340.6564540267,58.42607420596211
2021,Chilenos,6369516.287172513,14392224.246660996,44.256649827077595
2021,Migrantes,926930.9702806144,1416006.8556870327,65.46090978005023
2022,Chilenos,7020369.311187663,14648280.97597175,47.926233274085185
2022,Migrantes,984185.9706813098,1440916.024028309,68.30279865511261
2023,Chilenos,7176587.954727515,14786082.192234129,48.53610213594488
2023,Migrantes,1020159.3620106439,1451939.8082638895,70.26182188850285
2024,Chilenos,7350165.047454817,14915825.964713903,49.27762676262762
2024,Migrantes,1020954.6843201395,1453496.7975702733,70.24127511163495
2025,Chilenos,7485016.314097663,15056486.139091559,49.71290276463719
2025,Migrantes,1042561.0620857136,1480679.8609273427,70.4109706356621
