year,migrant_status,pop,total,share
2012,Migrantes,206793.92108873717,17443491.00000799,1.185507654910605
2013,Migrantes,403101.0002063275,17611902.001564994,2.288798791695002
2014,Migrantes,439088.0000236116,17787617.006058406,2.468503790440617
2015,Migrantes,515815.96336568793,17971423.00000047,2.870201003925368
2016,Migrantes,661457.0000004929,18167147.00000238,3.6409514383320962
2017,Migrantes,885712.0005164109,18419192.000602912,4.808636559559285
2018,Migrantes,1139367.1156110978,18750988.115795866,6.07630439833351
2019,Migrantes,1344414.000002741,19107120.241450623,7.036193748790019
2020,Migrantes,1569816.306928562,19117802.68411337,8.21127999313989
2021,Migrantes,1641364.655800314,19550946.050087582,8.395320879078183
2022,Migrantes,1672682.4834134215,19828563.00000008,8.435722162082119
2023,Migrantes,1687566.410078827,19960821.4335099,8.4543936014866
2024,Migrantes,1696427.5764072014,20067271.289208658,8.453703306036777
2025,Migrantes,1705998.627554627,20206890.041115243,8.442658044278003
