year,migrant_status,pop
2012,Chilenos,17236697.078919254
2012,Migrantes,206793.92108873717
2013,Chilenos,17208801.001358666
2013,Migrantes,403101.0002063275
2014,Chilenos,17348529.006034795
2014,Migrantes,439088.0000236116
2015,Chilenos,17455607.03663478
2015,Migrantes,515815.96336568793
2016,Chilenos,17505690.00000189
2016,Migrantes,661457.0000004929
2017,Chilenos,17533480.0000865
2017,Migrantes,885712.0005164109
2018,Chilenos,17611621.000184767
2018,Migrantes,1139367.1156110978
2019,Chilenos,17762706.24144788
2019,Migrantes,1344414.000002741
2020,Chilenos,17547986.377184805
2020,Migrantes,1569816.306928562
2021,Chilenos,17909581.39428727
2021,Migrantes,1641364.655800314
2022,Chilenos,18155880.516586658
2022,Migrantes,1672682.4834134215
2023,Chilenos,18273255.023431074
2023,Migrantes,1687566.410078827
2024,Chilenos,18370843.712801456
2024,Migrantes,1696427.5764072014
2025,Chilenos,18500891.413560618
2025,Migrantes,1705998.627554627
