region,migrant_status,pop,total,share,region_label,region_plot
1,Migrantes,79339.13482657008,410903.0000198744,19.308482737466658,Tarapacá,Tarapacá
2,Migrantes,110511.23584197422,722120.0000044339,15.303721797110684,Antofagasta,Antofagasta
3,Migrantes,25771.985697091575,320864,8.032058971119096,Atacama,Atacama
4,Migrantes,40724.14217074301,889273,4.579487083352695,Coquimbo,Coquimbo
5,Migrantes,110213.91066993242,2040166,5.4022030888629855,Valparaíso,Valparaíso
6,Migrantes,58352.157665023165,1033238,5.6475040276318875,O'Higgins,O'Higgins
7,Migrantes,55705.2771885595,1181074,4.716493394026073,Maule,Maule
8,Migrantes,46604.90051541199,1690616,2.7566816187361285,Biobío,Biobío
9,Migrantes,19803.948635565095,1035918,1.9117293681126397,La Araucanía,La Araucanía
10,Migrantes,39081.39615106967,916721.0000000001,4.263172344810434,Los Lagos,Los Lagos
11,Migrantes,4618.295519039659,108744,4.246942837342436,Aysén,Aysén
12,Migrantes,12358.854067075892,184216,6.7088928578819935,Magallanes,Magallanes
13,Migrantes,1047447.201670722,8471244,12.364738893965537,Metropolitana,Metropolitana
14,Migrantes,9379.660275276396,414293,2.2640161130592107,Los Ríos,Los Ríos
15,Migrantes,29752.358028771432,263687.00000000006,11.283210028849137,Arica y Parinacota,"Arica y
Parinacota"
16,Migrantes,16334.168631800716,523813.041090936,3.1183203453243236,Ñuble,Ñuble
