year,migrant_status,weighted_yes,weighted_total,share_yes
2018,Chilenos,5743257.756615184,17611621.000184767,32.61061407439401
2018,Migrantes,547189.4375919673,1139367.1156110978,48.0257355241013
2019,Chilenos,5803814.599343384,15552212.054168297,37.31825787308402
2019,Migrantes,627365.8111410728,1223944.4277782363,51.2577039367627
2020,Chilenos,5088821.847118998,6878199.979524142,73.9847905304879
2020,Migrantes,679910.5537157614,889296.2250903536,76.45490158767757
2021,Chilenos,5258050.4559761975,7223741.318319245,72.78846548175666
2021,Migrantes,739003.4757333237,1016102.418840385,72.72923103329512
2022,Chilenos,5700311.326834367,7810228.4238238195,72.98520628982506
2022,Migrantes,753354.7614370403,1052467.7998424007,71.57983945445643
2023,Chilenos,5855218.946654476,7993831.206468023,73.24671731768443
2023,Migrantes,750580.9847006422,1080557.5699413428,69.46237808887747
2024,Chilenos,6022729.156766778,8196781.287792662,73.47675807498163
2024,Migrantes,760175.2255107908,1090539.5659505683,69.70634071843
2025,Chilenos,6135142.363455201,8288174.894376791,74.02283906457691
2025,Migrantes,796965.933535056,1103310.0676988119,72.23408512869806
