year,migrant_status,weighted_yes,weighted_total,share_yes
2018,Chilenos,4877663.22453399,5897087.169003093,82.71309351119127
2018,Migrantes,474148.4713249721,569470.107837406,83.26134502925483
2019,Chilenos,4925456.2977089705,5915421.963386467,83.26466527992604
2019,Migrantes,576212.2909254137,689487.3177897064,83.57112249324338
2020,Chilenos,4421441.292869459,5003665.441183517,88.36404721382922
2020,Migrantes,601204.3058868801,684110.6890371403,87.88114489674942
2021,Chilenos,4585775.491822181,5172506.292431945,88.65674070869227
2021,Migrantes,649764.1226549225,749049.3972123428,86.74516327936186
2022,Chilenos,4957111.893554477,5617090.637394163,88.25052351040826
2022,Migrantes,674162.5085185207,804848.9120495477,83.76261661356614
2023,Chilenos,5091135.898568025,5774389.233555246,88.16752201225361
2023,Migrantes,660657.7468636939,804252.039117123,82.14561042194417
2024,Chilenos,5254344.335745837,5973427.52315366,87.96196681686388
2024,Migrantes,660702.5166927153,807923.432534146,81.77786286261619
2025,Chilenos,5319623.713674611,6046595.200181884,87.97717620512442
2025,Migrantes,699261.0242689166,829771.9299555599,84.27147256070315
