year,migrant_status,weighted_yes,weighted_total,share_yes
2018,Chilenos,4922586.051416419,5897047.766047,83.47543121083118
2018,Migrantes,475960.63874684117,569412.5182502983,83.58801808737576
2019,Chilenos,4984898.591781112,5916341.564509906,84.25643681027142
2019,Migrantes,577912.4074816942,689352.9752502984,83.8340339753896
2020,Chilenos,4499235.048969694,5005572.037898871,89.8845329745426
2020,Migrantes,603647.4261943457,683684.7994728299,88.2932349322087
2021,Chilenos,4661993.000627747,5172332.870875384,90.13327481065105
2021,Migrantes,655842.8300493102,749283.3278292477,87.52935047271846
2022,Chilenos,5040793.693866039,5619520.910078511,89.7014847800542
2022,Migrantes,677909.0804900167,804705.1256681845,84.24316670371859
2023,Chilenos,5178118.8293705,5775696.373074658,89.6535845185705
2023,Migrantes,664954.6089466065,804298.9437208426,82.6750568476937
2024,Chilenos,5346359.034608444,5975943.320315678,89.46468779971669
2024,Migrantes,663324.5622990046,808251.5864950648,82.06907024772724
2025,Chilenos,5424916.843539715,6047710.94689855,89.70198627501827
2025,Migrantes,700718.3929483735,829860.8473778744,84.43805912309821
