year,migrant_status,weighted_yes,weighted_total,share_yes
2018,Chilenos,4470735.923212376,5824952.5019313935,76.75145714458623
2018,Migrantes,457540.1066032441,559800.2918457985,81.73273813320505
2019,Chilenos,4521717.2857335815,5849123.848700459,77.30589063759017
2019,Migrantes,550193.3674219762,676189.8370859306,81.36670166370118
2020,Chilenos,3889785.800532877,4904363.014670492,79.31276271551074
2020,Migrantes,551041.4100684243,654622.8729372972,84.1769258070525
2021,Chilenos,4018040.370875078,5098846.219032031,78.80293302193111
2021,Migrantes,616322.970631564,735486.955043766,83.79794725181618
2022,Chilenos,4366422.856707401,5540210.859387691,78.81329731897571
2022,Migrantes,639197.2563619227,791456.9184339414,80.76210359329532
2023,Chilenos,4453678.347374907,5684398.373085354,78.34915948998763
2023,Migrantes,622910.0775271119,788933.7125382111,78.95594618755018
2024,Chilenos,4618196.212863536,5897360.510578731,78.30954550903543
2024,Migrantes,629442.2161674224,799290.9407755961,78.75007510489733
2025,Chilenos,4628532.563997,5965585.544369334,77.58722977940829
2025,Migrantes,660071.8462550536,818741.2709056855,80.62032167071376
