year,migrant_status,weighted_yes,weighted_total,share_yes
2018,Chilenos,4491529.256981394,5860975.294800631,76.63450246865747
2018,Migrantes,424059.0102371351,559673.0134577209,75.7690651577521
2019,Chilenos,4575142.379804484,5881297.441134402,77.79137895331505
2019,Migrantes,522029.5059038115,681540.2801255233,76.59554704641465
2020,Chilenos,4143296.683061707,4966241.660220023,83.42922005285871
2020,Migrantes,557957.6247217463,671733.0843082925,83.06240049145342
2021,Chilenos,4234982.978834307,5133631.742583292,82.49487285395395
2021,Migrantes,606223.2120602938,738749.3494960297,82.06074394161641
2022,Chilenos,4603422.684473315,5577391.121558444,82.5372039389452
2022,Migrantes,634634.2172707792,796112.9520967966,79.71660498667734
2023,Chilenos,4805325.204220336,5742069.467310752,83.68629518637412
2023,Migrantes,624800.2461613226,796261.783388468,78.46668761402864
2024,Chilenos,5003606.945123356,5951548.787802113,84.07235029944485
2024,Migrantes,639504.3563172653,803915.22211412,79.54873085193108
2025,Chilenos,5076424.654743042,6024197.296763725,84.26723768609241
2025,Migrantes,669610.8865415022,825653.5489036082,81.10070954466116
