year,migrant_status,weighted_yes,weighted_total,share_yes
2018,Chilenos,4788268.526522881,5858264.176906646,81.73527826550223
2018,Migrantes,457909.65245431056,559957.3965141162,81.77580210653882
2019,Chilenos,4847933.868950689,5878007.6032488635,82.47580126080754
2019,Migrantes,554499.5088977807,679185.9937840675,81.64177618098407
2020,Chilenos,4345949.609903641,4959571.431372174,87.6275232656794
2020,Migrantes,569095.9702242814,668216.7515732415,85.16637286994207
2021,Chilenos,4509514.044896292,5141367.464767221,87.7104014797445
2021,Migrantes,632251.6834839277,744603.7751509134,84.91115739451972
2022,Chilenos,4868164.087853543,5588537.808782957,87.10979963672659
2022,Migrantes,655584.6394463234,797857.0295755594,82.16818491842811
2023,Chilenos,5010989.891120485,5752400.886444372,87.1112773612313
2023,Migrantes,640154.1233733116,798696.1766799731,80.14989204459567
2024,Chilenos,5220857.641726367,5959784.574909686,87.60144894675969
2024,Migrantes,650872.061915423,806592.4744716592,80.69404098293411
2025,Chilenos,5290598.834669694,6030339.1016777055,87.73302372328934
2025,Migrantes,685730.3262159884,826106.6124278757,83.00748546252036
