year,migrant_status,weighted_yes,weighted_total,share_yes
2018,Chilenos,1877074.2476245817,2462032.2179296524,76.24084826976929
2018,Migrantes,164089.1612087631,229775.298137958,71.41288142742103
2019,Chilenos,1910261.002083229,2487921.405787204,76.78140465529708
2019,Migrantes,203291.34861461527,284799.6260820888,71.38048297718618
2020,Chilenos,1668254.6342513112,1983268.200821968,84.11644141523072
2020,Migrantes,222440.59937466023,280873.79249948676,79.19592547071358
2021,Chilenos,1736268.4291381668,2073656.1831237837,83.7298122643759
2021,Migrantes,240870.39351446333,312930.8215488705,76.97240953200469
2022,Chilenos,1876953.2067550023,2310166.2387967915,81.24753860711684
2022,Migrantes,264006.75210051663,346690.06510767183,76.1506540484579
2023,Chilenos,1947266.6814051215,2426975.993930394,80.23427863625459
2023,Migrantes,251172.027564265,353549.6867446189,71.04292182436444
2024,Chilenos,2036672.1228935947,2499482.1949684015,81.48376199652594
2024,Migrantes,259713.82600206503,367750.26147095015,70.62233619175298
2025,Chilenos,2107003.008191929,2560001.569818728,82.30475453736243
2025,Migrantes,272154.51230228896,364450.27251896163,74.67534882639697
