year,migrant_status,weighted_yes,weighted_total,share_yes
2018,Chilenos,831195.9389041722,2306878.243779304,36.03120108941873
2018,Migrantes,34412.83629398293,214065.61089298083,16.075835885282462
2019,Chilenos,887929.2219380997,2337921.120453414,37.97943455705193
2019,Migrantes,50239.15476746648,266043.195134877,18.88383378571158
2020,Chilenos,859876.9420760066,1841697.350109932,46.68937282364445
2020,Migrantes,71537.29596056961,254883.72288008526,28.066639623835705
2021,Chilenos,847672.3143528419,1929193.4973133502,43.93920648879102
2021,Migrantes,77007.16230827224,283261.9376307913,27.185848883320414
2022,Chilenos,864261.9799380347,2153435.6154916827,40.134098912481406
2022,Migrantes,79916.753842192,317202.96318515576,25.19420154204029
2023,Chilenos,939377.3856487175,2270317.155243001,41.37648272970797
2023,Migrantes,83205.69950048608,338260.7149852,24.598097211533005
2024,Chilenos,1028210.7230444426,2346283.408203364,43.82295503814612
2024,Migrantes,88960.83108452489,345461.6756870143,25.75128801410746
2025,Chilenos,1064053.5370255443,2403197.8180981567,44.276568870539975
2025,Migrantes,105192.53161026232,339281.5873192722,31.004491708910095
