pais,estimacion,share_pct,ano,share,pais_display
Venezuela,344506,0.26361374869056264,2018,0.26361374869056264,Venezuela
Perú,228143,0.17457353853782237,2018,0.17457353853782237,Perú
Colombia,153752,0.11765002957472842,2018,0.11765002957472842,Colombia
Haití,179851,0.13762081448725533,2018,0.13762081448725533,Haití
Bolivia,110594,0.08462580890516881,2018,0.08462580890516881,Bolivia
Venezuela,470842,0.3166793336068496,2019,0.3166793336068496,Venezuela
Perú,236253,0.15889925410778782,2019,0.15889925410778782,Perú
Colombia,168326,0.1132128516757353,2019,0.1132128516757353,Colombia
Haití,181175,0.12185484359131295,2019,0.12185484359131295,Haití
Bolivia,123539,0.08308997114627963,2019,0.08308997114627963,Bolivia
Venezuela,488410,0.31822117743334205,2020,0.31822117743334205,Venezuela
Perú,242942,0.15828768716449496,2020,0.15828768716449496,Perú
Colombia,172472,0.11237329889699918,2020,0.11237329889699918,Colombia
Haití,183718,0.11970057590077748,2020,0.11970057590077748,Haití
Bolivia,131643,0.08577136107134875,2020,0.08577136107134875,Bolivia
Venezuela,535808,0.3285528926694187,2021,0.3285528926694187,Venezuela
Perú,252926,0.15509206456660854,2021,0.15509206456660854,Perú
Colombia,187466,0.11495255124441077,2021,0.11495255124441077,Colombia
Haití,185355,0.11365810406104444,2021,0.11365810406104444,Haití
Bolivia,143691,0.08811009484845586,2021,0.08811009484845586,Bolivia
Venezuela,683273,0.37212528259056926,2022,0.37212528259056926,Venezuela
Perú,257520,0.1402509725581479,2022,0.1402509725581479,Perú
Colombia,203142,0.1106355353658251,2022,0.1106355353658251,Colombia
Haití,188633,0.10273361955017518,2022,0.10273361955017518,Haití
Bolivia,163905,0.08926621488483702,2022,0.08926621488483702,Bolivia
Venezuela,728586,0.3797521399908162,2023,0.3797521399908162,Venezuela
Perú,260785,0.135925836932778,2023,0.135925836932778,Perú
Colombia,209946,0.10942763487427962,2023,0.10942763487427962,Colombia
Haití,188131,0.09805726413712619,2023,0.09805726413712619,Haití
Bolivia,180266,0.09395788454291526,2023,0.09395788454291526,Bolivia
