region,estimacion,share_pct,ano,share,region_plot
Arica y Parinacota,36925,0.019245974763666726,2023,0.019245974763666726,Arica y Parinacota
Tarapacá,86526,0.04509890893435416,2023,0.04509890893435416,Tarapacá
Antofagasta,128744,0.06710369058831439,2023,0.06710369058831439,Antofagasta
Atacama,27266,0.014211530071933296,2023,0.014211530071933296,Atacama
Coquimbo,48871,0.02547244502844026,2023,0.02547244502844026,Coquimbo
Valparaíso,122433,0.06381428377088716,2023,0.06381428377088716,Valparaíso
Metropolitana,1089049,0.5676319450344343,2023,0.5676319450344343,Metropolitana
O'Higgins,60238,0.03139713006943145,2023,0.03139713006943145,O'Higgins
Maule,52954,0.027600578135009015,2023,0.027600578135009015,Maule
Ñuble,14314,0.746071449606298,2023,0.746071449606298,Ñuble
Biobío,50463,0.026302224089340936,2023,0.026302224089340936,Biobío
La Araucanía,25227,0.013148766563656615,2023,0.013148766563656615,La Araucanía
Los Ríos,9379,0.48885036508715024,2023,0.48885036508715024,Los Ríos
Los Lagos,37720,0.019660343076113987,2023,0.019660343076113987,Los Lagos
Aysén,4555,0.23741480040217183,2023,0.23741480040217183,Aysén
Magallanes,12216,0.6367199125604678,2023,0.6367199125604678,Magallanes
