region,2018,2023,cambio,etiqueta,region_plot
Arica y Parinacota,24946,36925,11979,11.979,Arica y Parinacota
Tarapacá,60722,86526,25804,25.804,Tarapacá
Antofagasta,87689,128744,41055,41.055,Antofagasta
Atacama,15407,27266,11859,11.859,Atacama
Coquimbo,28793,48871,20078,20.078,Coquimbo
Valparaíso,79956,122433,42477,42.477,Valparaíso
Metropolitana,747258,1089049,341791,341.791,Metropolitana
O'Higgins,35386,60238,24852,24.852,O'Higgins
Maule,34188,52954,18766,18.766,Maule
Ñuble,9588,14314,4726,4.726,Ñuble
Biobío,25679,50463,24784,24.784,Biobío
La Araucanía,17957,25227,7270,7.270,La Araucanía
Los Ríos,6856,9379,2523,2.523,Los Ríos
Los Lagos,20302,37720,17418,17.418,Los Lagos
Aysén,3283,4555,1272,1.272,Aysén
Magallanes,7674,12216,4542,4.542,Magallanes
