comuna,estimacion,rank,share,share_acumulado
Santiago,246137,1,0.17542170426393827,0.17542170426393827
Antofagasta,77102,2,0.05495055291223249,0.23037225717617077
Estación Central,75803,3,0.05402475632805841,0.2843970135042292
Independencia,65547,4,0.04671531077972171,0.3311123242839509
Iquique,52799,5,0.03762981820462456,0.36874214248857545
Recoleta,42710,6,0.030439393464260972,0.3991815359528364
Las Condes,42175,7,0.030058099259077653,0.42923963521191405
Calama,38314,8,0.02730636668671728,0.45654600189863137
Quinta Normal,37448,9,0.026689168963934556,0.4832351708625659
Arica,35662,10,0.025416287748126314,0.5086514586106922
San Miguel,35155,11,0.025054949127513333,0.5337064077382055
La Florida,35014,12,0.024954458505212683,0.5586608662434183
Quilicura,32168,13,0.022926115873527206,0.5815869821169455
Maipú,29601,14,0.02109661638809621,0.6026835985050416
Via Del Mar,25942,15,0.018488849104421872,0.6211724476094636
Alto Hospicio,25772,16,0.01836769019810194,0.6395401378075655
Puente Alto,25239,17,0.0179878213918165,0.657527959199382
Providencia,23458,18,0.01671850367325296,0.6742464628726349
Rancagua,22935,19,0.01634576186145693,0.6905922247340919
Pealoln,20784,20,0.014812745346785297,0.7054049700808771
San Bernardo,20601,21,0.014682321347629134,0.7200872914285062
Colina,20225,22,0.014414346354827398,0.7345016377833337
Conchal,19928,23,0.014202674618491985,0.7487043124018257
La Cisterna,19734,24,0.014064410925397473,0.7627687233272231
Copiap,19511,25,0.013905478948283678,0.7766742022755068
