edad,sexo,valor
0 a 4,Hombres,-4354
0 a 4,Mujeres,4152
5 a 9,Hombres,-47324
5 a 9,Mujeres,41743
10 a 14,Hombres,-56853
10 a 14,Mujeres,51894
15 a 19,Hombres,-49549
15 a 19,Mujeres,46437
20 a 24,Hombres,-72542
20 a 24,Mujeres,67512
25 a 29,Hombres,-132942
25 a 29,Mujeres,122569
30 a 34,Hombres,-170594
30 a 34,Mujeres,151308
35 a 39,Hombres,-145628
35 a 39,Mujeres,125849
0 a 4,Hombres,-105411
0 a 4,Mujeres,96207
45 a 49,Hombres,-69944
45 a 49,Mujeres,71249
50 a 54,Hombres,-45182
50 a 54,Mujeres,51866
55 a 59,Hombres,-29830
55 a 59,Mujeres,38498
60 a 64,Hombres,-18925
60 a 64,Mujeres,27381
65 a 69,Hombres,-11457
65 a 69,Mujeres,17238
70 a 74,Hombres,-7023
70 a 74,Mujeres,10228
75 a 79,Hombres,-4262
75 a 79,Mujeres,5523
80 o más,Hombres,-7643
80 o más,Mujeres,9277
