pais,pob_nna,pob_20ymas,estimacion,share_nna,indice_nna,ano,pais_display,etiqueta
Estados Unidos,3421,11362,14783,0.23141446255834405,30.10913571554304,2023,Estados Unidos,"23,1% · 14.783"
Bolivia,40285,139957,180242,0.2235050654120571,28.783840751087837,2023,Bolivia,"22,4% · 180.242"
España,3882,15971,19853,0.19553719840830103,24.306555632083153,2023,España,"19,6% · 19.853"
Venezuela,132143,596357,728500,0.18139052848318463,22.15837157943983,2023,Venezuela,"18,1% · 728.500"
Ecuador,8454,42004,50458,0.16754528518768083,20.1266546043234,2023,Ecuador,"16,8% · 50.458"
Colombia,31781,178148,209929,0.15138927923250242,17.83966140512383,2023,Colombia,"15,1% · 209.929"
República Dominicana,3302,19525,22827,0.14465326148858806,16.91165172855314,2023,República Dominicana,"14,5% · 22.827"
México,1052,7413,8465,0.1242764323685765,14.191285579387564,2023,México,"12,4% · 8.465"
Perú,32254,228516,260770,0.12368754074471756,14.114547777836126,2023,Perú,"12,4% · 260.770"
Paraguay,821,5926,6747,0.121683711279087,13.854201822477219,2023,Paraguay,"12,2% · 6.747"
