pais_std,rraa_regular,rraa_irregular,pais_display,total_migrantes,share_irregular,share_total_irregular,etiqueta
VENEZUELA,387070,252088,Venezuela,639158,0.39440639090803836,0.750353465750285,"252.088 (75,0%)"
BOLIVIA,74979,25916,Bolivia,100895,0.2568610932157193,0.0771403653421995,"25.916 (7,7%)"
COLOMBIA,80839,16841,Colombia,97680,0.1724099099099099,0.05012814063620859,"16.841 (5,0%)"
Perú,54642,6795,Perú,61437,0.11060110356951024,0.020225682300518813,"6.795 (2,0%)"
Haití,115977,6473,Haití,122450,0.05286239281339322,0.01926723201343021,"6.473 (1,9%)"
República Dominicana,6773,3575,República Dominicana,10348,0.3454773869346734,0.010641179429632783,"3.575 (1,1%)"
ECUADOR,17542,3508,Ecuador,21050,0.16665083135391923,0.010441750332629875,"3.508 (1,0%)"
CUBA,12008,2300,Cuba,14308,0.16074923119932905,0.006846073479204308,"2.300 (0,7%)"
ARGENTINA,11482,2171,Argentina,13653,0.15901267120779317,0.006462098053631544,"2.171 (0,6%)"
Otros países,8644,1948,Otros Países,10592,0.18391238670694865,0.0057983265815173875,"1.948 (0,6%)"
