migrant_status,d,division,share_pct,households
Jefatura chilena,02,"Bebidas alcohólicas, tabaco y narcóticos",1.237919604176274,13860
Jefatura migrante,02,"Bebidas alcohólicas, tabaco y narcóticos",1.0619022962772455,1256
Jefatura chilena,10,Educación,2.1949664208073183,13860
Jefatura migrante,10,Educación,1.3980687668756242,1256
Jefatura chilena,12,Seguros y servicios financieros,2.8304151521070486,13860
Jefatura migrante,12,Seguros y servicios financieros,2.32663005093938,1256
Jefatura chilena,03,Vestuario y calzado,2.30172181948371,13860
Jefatura migrante,03,Vestuario y calzado,2.9721222094282305,1256
Jefatura chilena,13,"Cuidado personal, protección social y otros bienes y servicios",2.857920308285179,13860
Jefatura migrante,13,"Cuidado personal, protección social y otros bienes y servicios",2.9185342981595124,1256
Jefatura chilena,09,"Recreación, deporte y cultura",3.1419020046197224,13860
Jefatura migrante,09,"Recreación, deporte y cultura",2.7752856079186228,1256
Jefatura chilena,05,Muebles y artículos para el hogar,4.395679572023028,13860
Jefatura migrante,05,Muebles y artículos para el hogar,3.769244869861506,1256
Jefatura chilena,11,Restaurantes y servicios de alojamiento,4.120097905646481,13860
Jefatura migrante,11,Restaurantes y servicios de alojamiento,5.252708250061901,1256
Jefatura chilena,06,Salud,5.919153849983004,13860
Jefatura migrante,06,Salud,3.940016291141187,1256
Jefatura chilena,08,Información y comunicaciones,6.049066387044384,13860
Jefatura migrante,08,Información y comunicaciones,6.725454865735977,1256
Jefatura chilena,07,Transporte,9.689952960236974,13860
Jefatura migrante,07,Transporte,10.531888366365727,1256
Jefatura chilena,01,Alimentación y bebidas no alcohólicas,19.69184348697737,13860
Jefatura migrante,01,Alimentación y bebidas no alcohólicas,20.716260566834688,1256
Jefatura chilena,04,"Vivienda, agua, electricidad, gas y otros combustibles",35.569360528609515,13860
Jefatura migrante,04,"Vivienda, agua, electricidad, gas y otros combustibles",35.6118835604004,1256
