migrant_status,tenure_group,share_pct,households
Jefatura chilena,Arrendada,33.88605673239379,3894
Jefatura chilena,Cedida,36.28510915769993,1218
Jefatura chilena,Ocupación irregular / otras,36.69208558607303,161
Jefatura chilena,Propia pagada,39.15527184398886,6249
Jefatura chilena,Propia pagándose,30.27800705254898,2324
Jefatura migrante,Arrendada,36.28410053815783,935
Jefatura migrante,Cedida,34.589309249296505,37
Jefatura migrante,Ocupación irregular / otras,29.21003353191949,78
Jefatura migrante,Propia pagada,35.69865510166941,114
Jefatura migrante,Propia pagándose,31.43586429943615,91
