d,g,group_code,group_label,weighted_spend,households,share_pct,group_plot
12,02,12.02,SERVICIOS FINANCIEROS,14897343768.129051,1068,2.4665488790720005,SERVICIOS FINANCIEROS
08,01,08.01,EQUIPOS DE INFORMACIÓN Y COMUNICACIÓN,16394214677.17815,532,2.7143853605479347,"EQUIPOS DE INFORMACIÓN Y
COMUNICACIÓN"
04,05,04.05,"ELECTRICIDAD, GAS Y OTROS COMBUSTIBLES",19609630797.51188,1135,3.246760873310586,"ELECTRICIDAD, GAS Y OTROS
COMBUSTIBLES"
04,04,04.04,SUMINISTRO DE AGUA Y SERVICIOS DIVERSOS RELACIONADOS CON LA VIVIENDA,19831324621.182274,1077,3.2834666552796676,"SUMINISTRO DE AGUA Y
SERVICIOS DIVERSOS
RELACIONADOS CON LA
VIVIENDA"
08,03,08.03,SERVICIOS DE INFORMACIÓN Y COMUNICACIÓN,21243732655.187115,1205,3.517318643076312,"SERVICIOS DE INFORMACIÓN Y
COMUNICACIÓN"
07,02,07.02,FUNCIONAMIENTO DE EQUIPOS DE TRANSPORTE PERSONAL,22654203358.342773,587,3.7508498675671733,"FUNCIONAMIENTO DE EQUIPOS
DE TRANSPORTE PERSONAL"
07,03,07.03,SERVICIOS DE TRANSPORTE DE PASAJEROS,24094917195.897263,890,3.9893884390329135,"SERVICIOS DE TRANSPORTE DE
PASAJEROS"
11,01,11.01,SERVICIOS DE SUMINISTRO DE ALIMENTACIÓN Y BEBIDAS,32933061970.17101,877,5.4527175012714215,"SERVICIOS DE SUMINISTRO DE
ALIMENTACIÓN Y BEBIDAS"
07,01,07.01,COMPRA DE VEHÍCULOS,37927019722.74229,186,6.279565635305224,COMPRA DE VEHÍCULOS
04,02,04.02,ARRIENDOS IMPUTADOS PARA VIVIENDAS,40785110523.64459,318,6.752778898755138,"ARRIENDOS IMPUTADOS PARA
VIVIENDAS"
01,01,01.01,ALIMENTOS,99549373323.77576,1238,16.482360815851457,ALIMENTOS
04,01,04.01,ARRIENDOS EFECTIVOS PARA VIVIENDAS,110393763309.75085,933,18.277863314850702,"ARRIENDOS EFECTIVOS PARA
VIVIENDAS"
