agno,dependency_group,dependency_order,total_students,migrant_students,migrant_share,dependency_label
2016,Administracion delegada,4,46121,925,0.015142833756241304,Administración delegada
2016,Particular pagado,3,288964,6160,0.10084308750102317,Particular pagado
2016,Particular subvencionado,2,1942222,20387,0.3337480559875583,Particular subvencionado
2016,Publica,1,1273530,33613,0.5502660227551772,Pública
2017,Administracion delegada,4,45603,1159,0.014934219851302073,Administración delegada
2017,Particular pagado,3,296735,6142,0.07914234540698649,Particular pagado
2017,Particular subvencionado,2,1943412,25711,0.3312974345097736,Particular subvencionado
2017,Publica,1,1272392,44595,0.5746260002319379,Pública
2018,Administracion delegada,4,44913,1535,0.01342663459435819,Administración delegada
2018,Particular pagado,3,325500,6913,0.060467964137327794,Particular pagado
2018,Particular subvencionado,2,1927242,38125,0.3334791165536847,Particular subvencionado
2018,Publica,1,1284696,67752,0.5926262847146293,Pública
2019,Administracion delegada,4,44281,2367,0.014667426786798696,Administración delegada
2019,Particular pagado,3,332675,7730,0.04789996158088463,Particular pagado
2019,Particular subvencionado,2,1951763,56486,0.3500229275365911,Particular subvencionado
2019,Publica,1,1295164,94795,0.5874096840957256,Pública
2020,Administracion delegada,4,44538,2974,0.016632551480375377,Administración delegada
2020,Particular pagado,3,324860,7570,0.04233638692213908,Particular pagado
2020,Particular subvencionado,2,1961112,65151,0.36436696755142445,Particular subvencionado
2020,Publica,1,1277648,103111,0.5766640940460611,Pública
2021,Administracion delegada,4,45283,3341,0.017370733355863466,Administración delegada
2021,Particular pagado,3,317821,7441,0.03868770634569891,Particular pagado
2021,Particular subvencionado,2,1975895,72075,0.3747367873761926,Particular subvencionado
2021,Publica,1,1287428,109478,0.569204772922245,Pública
2022,Administracion delegada,4,44869,4115,0.017104070893568205,Administración delegada
2022,Particular pagado,3,334438,7795,0.032400056528642564,Particular pagado
2022,Particular subvencionado,2,1972241,90747,0.3771915240288296,Particular subvencionado
2022,Publica,1,1292988,137929,0.5733043485489596,Pública
2023,Administracion delegada,4,44167,4653,0.01740499818581042,Administración delegada
2023,Particular pagado,3,338213,7870,0.029438498973206103,Particular pagado
2023,Particular subvencionado,2,1961573,101838,0.3809349248327018,Particular subvencionado
2023,Publica,1,1287070,152976,0.5722215780082817,Pública
2024,Administracion delegada,4,44202,5117,0.018544760027108618,Administración delegada
2024,Particular pagado,3,340318,7842,0.028420560510569823,Particular pagado
2024,Particular subvencionado,2,1939426,108120,0.3918427700080094,Particular subvencionado
2024,Publica,1,1258982,154848,0.5611919094543122,Pública
2025,Administracion delegada,4,44538,5795,0.019688784697448444,Administración delegada
2025,Particular pagado,3,345908,8064,0.02739781877484456,Particular pagado
2025,Particular subvencionado,2,1910048,114985,0.39066693847042433,Particular subvencionado
2025,Publica,1,1241289,165486,0.5622464580572827,Pública
