agno,level_group,total_students,migrant_students,migrant_share
2016,Parvularia escolar,371164,5701,0.015359787048312876
2016,Media,898171,14346,0.01597245958731689
2016,Basica,1945973,35805,0.018399535862008362
2017,Media,896547,17492,0.019510410497163004
2017,Parvularia escolar,366941,7557,0.020594591501086005
2017,Basica,1962422,44827,0.02284269132734957
2018,Media,896755,23751,0.02648549492336257
2018,Parvularia escolar,362471,12001,0.033108855605000126
2018,Basica,1988726,65402,0.03288638052703087
2019,Basica,2014744,90107,0.044723796174600844
2019,Parvularia escolar,373371,17652,0.04727737290791197
2019,Media,897736,32943,0.03669564326260727
2020,Media,902912,38549,0.04269408314431528
2020,Parvularia escolar,376251,19437,0.05165966336302096
2020,Basica,2017007,101915,0.050527836541965396
2021,Basica,2033670,110853,0.05450884361769608
2021,Parvularia escolar,346289,18555,0.05358241237810037
2021,Media,927440,43489,0.046891443112222896
2022,Media,946768,54343,0.05739843340712825
2022,Parvularia escolar,342754,23846,0.06957176283865396
2022,Basica,2052053,142799,0.0695883585852802
2023,Media,965886,63989,0.06624901903537271
2023,Parvularia escolar,332743,22435,0.06742440862767962
2023,Basica,2037448,160864,0.07895367145566415
2024,Media,983941,71349,0.0725134942034126
2024,Basica,1998308,164119,0.08212898111802586
2024,Parvularia escolar,314415,18580,0.05909387274780147
2025,Media,1009664,82050,0.08126465834178499
2025,Basica,1963530,170732,0.08695156172811212
2025,Parvularia escolar,290389,17124,0.05896917582966297
