cod_reg_rbd,nom_reg_rbd_a,total_students,migrant_students,migrant_share,region,region_label,highlight_rm
15,AYP,53147,8230,0.15485351948369616,Arica y Parinacota,Arica y Parinacota,FALSE
1,TPCA,87433,19528,0.2233481637368042,Tarapacá,Tarapacá,FALSE
2,ANTOF,133981,26884,0.20065531679865056,Antofagasta,Antofagasta,FALSE
3,ATCMA,64715,5894,0.09107625743645213,Atacama,Atacama,FALSE
4,COQ,171870,9998,0.05817187409088265,Coquimbo,Coquimbo,FALSE
5,VALPO,357245,20376,0.05703648756455654,Valparaíso,Valparaíso,FALSE
13,RM,1335361,154171,0.11545267534397066,Metropolitana,Metropolitana,TRUE
6,LGBO,195945,12816,0.06540610885707725,O'Higgins,O'Higgins,FALSE
7,MAULE,225660,10455,0.04633076309492156,Maule,Maule,FALSE
16,NUBLE,96657,2432,0.025161136803335506,Ñuble,Ñuble,FALSE
8,BBIO,306525,9883,0.03224206834679064,Biobío,Biobío,FALSE
9,ARAUC,205500,3279,0.015956204379562043,La Araucanía,La Araucanía,FALSE
14,RIOS,78090,1199,0.015354078627224996,Los Ríos,Los Ríos,FALSE
10,LAGOS,177580,6497,0.036586327289109134,Los Lagos,Los Lagos,FALSE
11,AYSEN,21837,596,0.027293126345193937,Aysén,Aysén,FALSE
12,MAG,30237,2092,0.06918675794556338,Magallanes,Magallanes,FALSE
