cod_reg_rbd,nom_reg_rbd_a,cod_com_rbd,nom_com_rbd,total_students,migrant_students,migrant_share,comuna
13,RM,13101,SANTIAGO,76368,20446,0.2677299392415671,SANTIAGO
2,ANTOF,2101,ANTOFAGASTA,79688,14787,0.18556118863567914,ANTOFAGASTA
1,TPCA,1101,IQUIQUE,46120,9964,0.2160450997398092,IQUIQUE
13,RM,13106,ESTACIÓN CENTRAL,26416,9009,0.3410433070866142,ESTACIÓN CENTRAL
2,ANTOF,2201,CALAMA,38725,8958,0.2313234344738541,CALAMA
15,AYP,15101,ARICA,52692,8014,0.1520913990738632,ARICA
1,TPCA,1107,ALTO HOSPICIO,34052,7666,0.2251262774580054,ALTO HOSPICIO
13,RM,13126,QUINTA NORMAL,26988,7141,0.2645990810730695,QUINTA NORMAL
13,RM,13127,RECOLETA,32220,7008,0.2175046554934823,RECOLETA
13,RM,13108,INDEPENDENCIA,19313,6738,0.34888417128359134,INDEPENDENCIA
13,RM,13110,LA FLORIDA,68707,6258,0.09108242246059353,LA FLORIDA
13,RM,13125,QUILICURA,43061,5693,0.13220779823970646,QUILICURA
13,RM,13119,MAIPÚ,90386,5671,0.06274201756909256,MAIPÚ
13,RM,13130,SAN MIGUEL,26102,5422,0.20772354608842233,SAN MIGUEL
13,RM,13201,PUENTE ALTO,101566,5171,0.05091270700825079,PUENTE ALTO
