agno,pais_origen_alu,n_students,pais,share_migrant,anio,fill_hex
2016,22,5288,Perú,0.3168744007670182,2016,#94A3B8
2016,4,3974,Bolivia,0.2381351869606903,2016,#94A3B8
2016,2,784,Argentina,0.04697986577181208,2016,#94A3B8
2016,8,4053,Colombia,0.24286912751677853,2016,#94A3B8
2016,27,711,Venezuela,0.04260546500479386,2016,#94A3B8
2016,12,664,Ecuador,0.03978906999041227,2016,#94A3B8
2016,11,298,República Dominicana,0.017857142857142856,2016,#94A3B8
2016,16,916,Haití,0.05488974113135187,2016,#94A3B8
2025,4,33804,Bolivia,0.20097144521798066,2025,#CC503E
2025,8,20124,Colombia,0.11964114789867006,2025,#CC503E
2025,27,80823,Venezuela,0.48050867107007605,2025,#CC503E
2025,22,15023,Perú,0.08931469712193005,2025,#CC503E
2025,2,2604,Argentina,0.015481293437096841,2025,#CC503E
2025,12,6746,Ecuador,0.04010630012544366,2025,#CC503E
2025,11,1202,República Dominicana,0.007146127001301998,2025,#CC503E
2025,16,7877,Haití,0.0468303181275007,2025,#CC503E
