migrant_status,grade_label,gender_label,n_students,share_group,share_signed
Nacionales,1 medio,Hombres,127934,0.04273492282367026,-0.04273492282367026
Nacionales,3 medio,Hombres,114452,0.03823141140755943,-0.03823141140755943
Nacionales,1 medio,Mujeres,120898,0.04038462566273303,0.04038462566273303
Nacionales,4 medio,Mujeres,106686,0.03563726590559261,0.03563726590559261
Nacionales,4 medio,Hombres,105845,0.03535633925517359,-0.03535633925517359
Nacionales,2 medio,Hombres,120778,0.04034454100393364,-0.04034454100393364
Nacionales,3 medio,Mujeres,113715,0.03798522479476655,0.03798522479476655
Migrantes,4 medio,Mujeres,8512,0.03153702228561901,0.03153702228561901
Migrantes,2 medio,Hombres,11695,0.04333006057686964,-0.04333006057686964
Migrantes,3 medio,Hombres,10391,0.038498731034993794,-0.038498731034993794
Migrantes,1 medio,Hombres,12281,0.04550119486485986,-0.04550119486485986
Migrantes,2 medio,Mujeres,10108,0.03745021396417258,0.03745021396417258
Nacionales,2 medio,Mujeres,117304,0.03918409013169147,0.03918409013169147
Migrantes,3 medio,Mujeres,9691,0.03590522591282118,0.03590522591282118
Migrantes,4 medio,Hombres,8701,0.03223726866860562,-0.03223726866860562
Migrantes,1 medio,Mujeres,10670,0.03953242807654545,0.03953242807654545
Nacionales,Kinder,Hombres,76666,0.025609420429279973,-0.025609420429279973
Nacionales,Kinder,Mujeres,77670,0.025944795407901487,0.025944795407901487
Nacionales,Prekinder,Hombres,58762,0.019628789336411837,-0.019628789336411837
Nacionales,Prekinder,Mujeres,60165,0.020097445805541302,0.020097445805541302
Migrantes,Kinder,Mujeres,4722,0.01749504455271299,0.01749504455271299
Migrantes,Prekinder,Mujeres,3502,0.01297493562549786,0.01297493562549786
Nacionales,6 basico,Hombres,115890,0.038711759235505384,-0.038711759235505384
Nacionales,7 basico,Mujeres,113982,0.03807441316059518,0.03807441316059518
Nacionales,6 basico,Mujeres,109994,0.036742266333162306,0.036742266333162306
Nacionales,5 basico,Mujeres,115670,0.038638270694373186,0.038638270694373186
Nacionales,8 basico,Mujeres,117068,0.03910525696938601,0.03910525696938601
Nacionales,7 basico,Hombres,118857,0.039702852424320166,-0.039702852424320166
Nacionales,4 basico,Hombres,118046,0.03943194693860099,-0.03943194693860099
Nacionales,5 basico,Hombres,120499,0.040251344172225076,-0.040251344172225076
Nacionales,8 basico,Hombres,122646,0.04096852552591072,-0.04096852552591072
Nacionales,3 basico,Mujeres,107088,0.03577154951257055,0.03577154951257055
Migrantes,7 basico,Hombres,12760,0.0472758933698894,-0.0472758933698894
Nacionales,4 basico,Mujeres,114330,0.03819065867111339,0.03819065867111339
Nacionales,3 basico,Hombres,110363,0.036865526658970416,-0.036865526658970416
Nacionales,2 basico,Hombres,104506,0.03490906127073713,-0.03490906127073713
Nacionales,2 basico,Mujeres,101257,0.0338237691337438,0.0338237691337438
Migrantes,7 basico,Mujeres,10739,0.03978807358144532,0.03978807358144532
Nacionales,1 basico,Mujeres,99905,0.03337214864460407,0.03337214864460407
Nacionales,1 basico,Hombres,102688,0.03430177868992646,-0.03430177868992646
Migrantes,6 basico,Mujeres,10227,0.03789110983494193,0.03789110983494193
Migrantes,3 basico,Hombres,12120,0.044904688686760154,-0.044904688686760154
Migrantes,5 basico,Hombres,12206,0.04522331931605565,-0.04522331931605565
Migrantes,2 basico,Hombres,10760,0.0398658787351105,-0.0398658787351105
Migrantes,2 basico,Mujeres,8277,0.030666345566032493,0.030666345566032493
Migrantes,6 basico,Hombres,12522,0.04639410162835072,-0.04639410162835072
Migrantes,8 basico,Hombres,12639,0.04682758748448528,-0.04682758748448528
Migrantes,5 basico,Mujeres,10313,0.03820974046423742,0.03820974046423742
Migrantes,8 basico,Mujeres,10810,0.04005112910097997,0.04005112910097997
Migrantes,4 basico,Hombres,12357,0.045782775420981456,-0.045782775420981456
Migrantes,3 basico,Mujeres,9755,0.0361423463811341,0.0361423463811341
Migrantes,1 basico,Hombres,8523,0.031577777366110296,-0.031577777366110296
Migrantes,4 basico,Mujeres,9911,0.03672032752264686,0.03672032752264686
Migrantes,1 basico,Mujeres,6813,0.025242214853374335,0.025242214853374335
Migrantes,Kinder,Hombres,5471,0.020270095033437692,-0.020270095033437692
Migrantes,Prekinder,Hombres,3429,0.01270447009132843,-0.01270447009132843
