agno,nacionalidad,n_children,total_children,migrant_children,migrant_share,share_within_migrant,share_total
2011,Bolivia,100,68440,443,0.006472822910578609,0.22573363431151242,0.0014611338398597311
2011,Colombia,13,68440,443,0.006472822910578609,0.029345372460496615,1.8994739918176505e-4
2011,Ecuador,8,68440,443,0.006472822910578609,0.01805869074492099,1.168907071887785e-4
2011,Otros,140,68440,443,0.006472822910578609,0.3160270880361174,0.0020455873758036236
2011,Perú,182,68440,443,0.006472822910578609,0.4108352144469526,0.0026592635885447106
2025,Bolivia,773,76085,2624,0.034487743970559245,0.29458841463414637,0.010159689820595386
2025,Colombia,481,76085,2624,0.034487743970559245,0.1833079268292683,0.006321876848261812
2025,Ecuador,194,76085,2624,0.034487743970559245,0.07393292682926829,0.0025497798514818953
2025,Otros,260,76085,2624,0.034487743970559245,0.09908536585365854,0.003417230728790169
2025,Perú,366,76085,2624,0.034487743970559245,0.13948170731707318,0.004810409410527699
2025,Venezuela,550,76085,2624,0.034487743970559245,0.20960365853658536,0.00722875731090228
