agno,total_children,migrant_children,migrant_share
2011,68440,443,0.006472822910578609
2012,67506,485,0.007184546558824401
2022,73432,3397,0.046260485891709335
2023,76510,3566,0.04660828649849693
2013,64577,528,0.008176285674466141
2014,64642,662,0.010241019770427896
2024,76802,3110,0.04049373714226192
2025,76085,2624,0.034487743970559245
2015,64306,572,0.008894970920287376
2016,65408,649,0.009922333659491194
2018,79026,2883,0.03648166426239465
2019,82247,3408,0.04143616180529381
2020,69881,2017,0.02886335341509137
2017,71749,1045,0.014564662922131318
2021,74931,2042,0.027251738265871267
