ano,tipo_resuelto,total
2000,Archiva,1534
2000,Otorga,19640
2000,Rechaza,1076
2001,Archiva,2306
2001,Otorga,27668
2001,Rechaza,2116
2002,Archiva,2897
2002,Otorga,27497
2002,Rechaza,1660
2003,Archiva,5840
2003,Otorga,33545
2003,Rechaza,1498
2004,Archiva,1063
2004,Otorga,34636
2004,Rechaza,1073
2005,Archiva,1797
2005,Otorga,43101
2005,Rechaza,1998
2006,Archiva,1579
2006,Otorga,51995
2006,Rechaza,1896
2007,Archiva,928
2007,Otorga,89702
2007,Rechaza,793
2008,Archiva,1961
2008,Otorga,70588
2008,Rechaza,352
2009,Archiva,4091
2009,Otorga,60430
2009,Rechaza,580
2010,Archiva,4087
2010,Otorga,70201
2010,Rechaza,631
2011,Archiva,6134
2011,Otorga,81557
2011,Rechaza,1521
2012,Archiva,5275
2012,Otorga,107354
2012,Rechaza,1481
2013,Archiva,6152
2013,Otorga,135454
2013,Rechaza,992
2014,Archiva,10360
2014,Otorga,139848
2014,Rechaza,734
2015,Archiva,8747
2015,Otorga,173560
2015,Rechaza,1322
2016,Archiva,16151
2016,Otorga,179805
2016,Rechaza,4802
2017,Archiva,12354
2017,Otorga,263021
2017,Rechaza,13542
2018,Archiva,6164
2018,Otorga,438345
2018,Rechaza,1956
2019,Archiva,9700
2019,Otorga,328310
2019,Rechaza,7141
2020,Archiva,4979
2020,Otorga,198562
2020,Rechaza,2318
2021,Archiva,21168
2021,Otorga,98847
2021,Rechaza,8514
2022,Archiva,6458
2022,Otorga,252631
2022,Rechaza,5790
2023,Archiva,15583
2023,Otorga,90314
2023,Rechaza,9476
2024,Archiva,15804
2024,Otorga,145608
2024,Rechaza,6995
2025,Archiva,31765
2025,Otorga,241571
2025,Rechaza,13079
