ano,origen_solicitud,total,share
2000,Dentro de Chile,23875,1
2001,Dentro de Chile,27063,1
2002,Dentro de Chile,31048,1
2003,Dentro de Chile,31937,1
2004,Dentro de Chile,35456,1
2005,Dentro de Chile,40838,1
2006,Dentro de Chile,52048,1
2007,Dentro de Chile,86248,1
2008,Dentro de Chile,68509,1
2009,Dentro de Chile,56416,1
2010,Dentro de Chile,66357,1
2011,Dentro de Chile,81309,1
2012,Dentro de Chile,102994,1
2013,Dentro de Chile,133082,1
2014,Dentro de Chile,147753,1
2015,Dentro de Chile,157857,1
2016,Dentro de Chile,196154,1
2017,Dentro de Chile,275390,1
2018,Dentro de Chile,447019,1
2019,Dentro de Chile,286272,1
2020,Dentro de Chile,127486,1
2021,Dentro de Chile,276040,1
2022,Dentro de Chile,70482,0.8174859078150735
2022,Fuera de Chile,15736,0.1825140921849266
2023,Dentro de Chile,74744,0.5935219521491587
2023,Fuera de Chile,51189,0.4064780478508413
2024,Dentro de Chile,111067,0.5139991855019345
2024,Fuera de Chile,105017,0.4860008144980656
2025,Dentro de Chile,130718,0.4668016526859718
2025,Fuera de Chile,149311,0.5331983473140282
