ano,actividad_grp,total,share
2000,Empleado,11608,0.5910386965376782
2000,Empresario/a o patrón/a,379,0.01929735234215886
2000,Estudiante,1982,0.10091649694501019
2000,No informa,1277,0.06502036659877801
2000,Otras actividades,4106,0.2090631364562118
2000,Trabajador por cuenta propia,288,0.014663951120162933
2001,Empleado,18289,0.6610163365620934
2001,Empresario/a o patrón/a,426,0.015396848344658088
2001,Estudiante,2765,0.09993494289431834
2001,No informa,1363,0.04926268613560792
2001,Otras actividades,4399,0.15899233771866417
2001,Trabajador por cuenta propia,426,0.015396848344658088
2002,Empleado,17219,0.6262137687747754
2002,Empresario/a o patrón/a,551,0.020038549659962906
2002,Estudiante,3133,0.11393970251300142
2002,No informa,1538,0.055933374549950905
2002,Otras actividades,4543,0.16521802378441283
2002,Trabajador por cuenta propia,513,0.018656580717896498
2003,Empleado,20414,0.6085556714860635
2003,Empresario/a o patrón/a,617,0.018393203159934417
2003,Estudiante,4121,0.12284990311521836
2003,No informa,2069,0.06167834252496646
2003,Otras actividades,5659,0.16869876285586524
2003,Trabajador por cuenta propia,665,0.019824116857952004
2004,Empleado,21352,0.6164684143665551
2004,Empresario/a o patrón/a,630,0.01818916734033953
2004,Estudiante,4118,0.1188936366786003
2004,No informa,2130,0.061496708626862226
2004,Otras actividades,5696,0.16445317011202218
2004,Trabajador por cuenta propia,710,0.020498902875620742
2005,Empleado,26733,0.6202408296791257
2005,Empresario/a o patrón/a,757,0.017563397600983736
2005,Estudiante,4549,0.10554279483074638
2005,No informa,2044,0.04742349365443957
2005,Otras actividades,7965,0.1847984965546043
2005,Trabajador por cuenta propia,1053,0.02443098768010023
2006,Empleado,34113,0.6560823156072699
2006,Empresario/a o patrón/a,804,0.015463025290893355
2006,Estudiante,4821,0.09272045388979709
2006,No informa,1946,0.037426675641888646
2006,Otras actividades,8948,0.17209347052601212
2006,Trabajador por cuenta propia,1363,0.02621405904413886
2007,Empleado,55645,0.6203317651780339
2007,Empresario/a o patrón/a,848,0.009453523890214265
2007,Estudiante,6583,0.07338743840717041
2007,No informa,13528,0.15081046130521059
2007,Otras actividades,11430,0.12742190809569465
2007,Trabajador por cuenta propia,1668,0.018594903123676173
2008,Empleado,41975,0.5946478154927183
2008,Empresario/a o patrón/a,598,0.008471694905649686
2008,Estudiante,6755,0.09569615232050774
2008,No informa,8910,0.1262254207514025
2008,Otras actividades,11390,0.16135887119623732
2008,Trabajador por cuenta propia,960,0.013600045333484445
2009,Empleado,38111,0.6306635776931987
2009,Empresario/a o patrón/a,514,0.00850570908489161
2009,Estudiante,6161,0.10195267251365216
2009,No informa,2823,0.046715207678305476
2009,Otras actividades,11473,0.18985603177229854
2009,Trabajador por cuenta propia,1348,0.022306801257653483
2010,Empleado,45856,0.6532100682326463
2010,Empresario/a o patrón/a,590,0.00840443868320964
2010,Estudiante,7324,0.10432899816241933
2010,No informa,2693,0.038361276904887394
2010,Otras actividades,12308,0.17532513781854958
2010,Trabajador por cuenta propia,1430,0.020370080198287774
2011,Empleado,54956,0.673835477028336
2011,Empresario/a o patrón/a,838,0.010275022376987873
2011,Estudiante,8182,0.10032247385264294
2011,No informa,2676,0.03281140797233836
2011,Otras actividades,13491,0.16541805117893008
2011,Trabajador por cuenta propia,1414,0.01733756759076474
