ano,tipo_resuelto,total
2000,Archiva,214
2000,Otorga,18745
2000,Rechaza con RT,872
2000,Rechaza con abandono,28
2001,Archiva,257
2001,Otorga,8230
2001,Rechaza con RT,354
2001,Rechaza con abandono,10
2002,Archiva,766
2002,Otorga,11054
2002,Rechaza con RT,349
2002,Rechaza con abandono,10
2003,Archiva,229
2003,Otorga,8526
2003,Rechaza con RT,1022
2003,Rechaza con abandono,107
2004,Archiva,69
2004,Otorga,13146
2004,Rechaza con RT,1305
2004,Rechaza con abandono,75
2005,Archiva,117
2005,Otorga,12032
2005,Rechaza con RT,1578
2005,Rechaza con abandono,61
2006,Archiva,184
2006,Otorga,11756
2006,Rechaza con RT,2092
2006,Rechaza con abandono,58
2007,Archiva,78
2007,Otorga,14781
2007,Rechaza con RT,1313
2007,Rechaza con abandono,47
2008,Archiva,50
2008,Otorga,15866
2008,Rechaza con RT,1076
2008,Rechaza con abandono,19
2009,Archiva,37
2009,Otorga,43006
2009,Rechaza con RT,1676
2009,Rechaza con abandono,37
2010,Archiva,114
2010,Otorga,17088
2010,Rechaza con RT,4605
2010,Rechaza con abandono,132
2011,Archiva,50
2011,Otorga,18811
2011,Rechaza con RT,3516
2011,Rechaza con abandono,162
2012,Archiva,43
2012,Otorga,27315
2012,Rechaza con RT,5015
2012,Rechaza con abandono,278
2013,Archiva,52
2013,Otorga,25987
2013,Rechaza con RT,4643
2013,Rechaza con abandono,194
2014,Archiva,85
2014,Otorga,36015
2014,Rechaza con RT,6149
2014,Rechaza con abandono,166
2015,Archiva,68
2015,Otorga,48853
2015,Rechaza con RT,7931
2015,Rechaza con abandono,172
2016,Archiva,80
2016,Otorga,53578
2016,Rechaza con RT,5436
2016,Rechaza con abandono,377
2017,Archiva,59
2017,Otorga,87747
2017,Rechaza con RT,15112
2017,Rechaza con abandono,485
2018,Archiva,102
2018,Otorga,93027
2018,Rechaza con RT,16970
2018,Rechaza con abandono,644
2019,Archiva,64
2019,Otorga,88762
2019,Rechaza con RT,17412
2019,Rechaza con abandono,538
2020,Archiva,316
2020,Otorga,74343
2020,Rechaza con RT,34979
2020,Rechaza con abandono,346
2021,Archiva,417
2021,Otorga,21416
2021,Rechaza con RT,6551
2021,Rechaza con abandono,245
2022,Archiva,895
2022,Otorga,93811
2022,Rechaza con RT,1884
2022,Rechaza con abandono,59
2023,Archiva,11747
2023,Otorga,114463
2023,Rechaza con RT,6606
2023,Rechaza con abandono,129
2024,Archiva,29406
2024,Otorga,133676
2024,Rechaza con RT,19500
2024,Rechaza con abandono,2558
2025,Archiva,8578
2025,Otorga,66829
2025,Rechaza con RT,9113
2025,Rechaza con abandono,9398
