ano,actividad_grp,total,share
2000,Empleado,3775,0.20138703654307816
2000,Empresario/a o patrón/a,191,0.010189383835689517
2000,Estudiante,748,0.03990397439317151
2000,No informa,11594,0.6185116030941584
2000,Otras actividades,2150,0.11469725260069352
2000,Trabajador por cuenta propia,287,0.015310749533208856
2001,Empleado,4290,0.5212636695018226
2001,Empresario/a o patrón/a,228,0.027703523693803158
2001,Estudiante,845,0.10267314702308628
2001,No informa,732,0.08894289185905224
2001,Otras actividades,1962,0.23839611178614825
2001,Trabajador por cuenta propia,173,0.021020656136087484
2002,Empleado,5970,0.540075990591641
2002,Empresario/a o patrón/a,315,0.028496471865388093
2002,Estudiante,1385,0.12529401121765876
2002,No informa,878,0.07942826126289126
2002,Otras actividades,2287,0.20689343224172246
2002,Trabajador por cuenta propia,219,0.01981183282069839
2003,Empleado,4660,0.5465634529673938
2003,Empresario/a o patrón/a,128,0.0150129017124091
2003,Estudiante,1103,0.12936898897490032
2003,No informa,542,0.06357025568848229
2003,Otras actividades,1904,0.2233169129720854
2003,Trabajador por cuenta propia,189,0.022167487684729065
2004,Empleado,7684,0.5845123992088849
2004,Empresario/a o patrón/a,276,0.020994979461433135
2004,Estudiante,1833,0.13943404837973528
2004,No informa,725,0.05514985546934429
2004,Otras actividades,2368,0.18013083827780313
2004,Trabajador por cuenta propia,260,0.01977787920279933
2005,Empleado,7093,0.5895113031914894
2005,Empresario/a o patrón/a,249,0.020694813829787235
2005,Estudiante,1628,0.13530585106382978
2005,No informa,783,0.06507646276595745
2005,Otras actividades,2059,0.17112699468085107
2005,Trabajador por cuenta propia,220,0.018284574468085107
2006,Empleado,6688,0.5689009867301803
2006,Empresario/a o patrón/a,244,0.02075535896563457
2006,Estudiante,1629,0.1385675399795849
2006,No informa,817,0.06949642735624362
2006,Otras actividades,2148,0.18271520925484858
2006,Trabajador por cuenta propia,230,0.019564477713507996
2007,Empleado,8757,0.5924497665922468
2007,Empresario/a o patrón/a,339,0.02293484879236858
2007,Estudiante,2043,0.13821798254515932
2007,No informa,919,0.062174413097895946
2007,Otras actividades,2303,0.1558081320614302
2007,Trabajador por cuenta propia,420,0.028414856910899126
2008,Empleado,9874,0.62233707298626
2008,Empresario/a o patrón/a,298,0.018782301777385605
2008,Estudiante,2128,0.13412328249086097
2008,No informa,709,0.04468675154418253
2008,Otras actividades,2431,0.15322072355981345
2008,Trabajador por cuenta propia,426,0.026849867641497542
2009,Empleado,30271,0.7038785285774078
2009,Empresario/a o patrón/a,543,0.012626145189043389
2009,Estudiante,4598,0.10691531414221271
2009,No informa,1962,0.04562154118030042
2009,Otras actividades,3803,0.08842952146212156
2009,Trabajador por cuenta propia,1829,0.042528949448914104
2010,Empleado,10016,0.5861423220973783
2010,Empresario/a o patrón/a,248,0.01451310861423221
2010,Estudiante,2084,0.12195692883895132
2010,No informa,1040,0.060861423220973786
2010,Otras actividades,3130,0.1831694756554307
2010,Trabajador por cuenta propia,570,0.033356741573033706
2011,Empleado,10708,0.5692414013077455
2011,Empresario/a o patrón/a,214,0.01137632236457392
2011,Estudiante,2590,0.13768539684227313
2011,No informa,1725,0.09170166392004678
2011,Otras actividades,3084,0.16394662697357928
2011,Trabajador por cuenta propia,490,0.026048588591781406
2012,Empleado,16907,0.6189639392275307
2012,Empresario/a o patrón/a,233,0.00853011166025993
2012,Estudiante,4193,0.15350539996339008
2012,No informa,1584,0.05799011532125206
2012,Otras actividades,3621,0.13256452498627128
2012,Trabajador por cuenta propia,777,0.02844590884129599
2013,Empleado,16683,0.6419748335706315
2013,Empresario/a o patrón/a,410,0.015777119328895216
2013,Estudiante,3515,0.13525993766113825
2013,No informa,1439,0.05537384076653711
2013,Otras actividades,3309,0.1273328972178397
2013,Trabajador por cuenta propia,631,0.024281371454958248
2014,Empleado,25104,0.69704289879217
2014,Empresario/a o patrón/a,373,0.010356795779536304
2014,Estudiante,5005,0.13896987366375121
2014,No informa,1460,0.040538664445369986
2014,Otras actividades,3460,0.09607108149382201
2014,Trabajador por cuenta propia,613,0.01702068582535055
2015,Empleado,34946,0.715329662456758
2015,Empresario/a o patrón/a,328,0.006714019609849958
2015,Estudiante,7363,0.1507174584979428
2015,No informa,1566,0.0320553497226373
2015,Otras actividades,3829,0.07837799111620576
2015,Trabajador por cuenta propia,821,0.016805518596606145
2016,Empleado,39234,0.7322781738773377
2016,Empresario/a o patrón/a,325,0.0060659225801635
2016,Estudiante,7359,0.13735115159207137
2016,No informa,1743,0.03253200940684609
2016,Otras actividades,4244,0.07921161670835045
2016,Trabajador por cuenta propia,673,0.012561125835230879
2017,Empleado,67984,0.7747729267097451
2017,Empresario/a o patrón/a,616,0.007020183026200326
2017,Estudiante,10021,0.11420333458693745
2017,No informa,3380,0.03851983543596932
2017,Otras actividades,5145,0.058634483230195905
2017,Trabajador por cuenta propia,601,0.006849237010951941
2018,Empleado,73441,0.7894589742762854
2018,Empresario/a o patrón/a,444,0.004772807894482247
2018,Estudiante,10045,0.10797940382899589
2018,No informa,3734,0.0401388844099025
2018,Otras actividades,4998,0.053726337514915026
2018,Trabajador por cuenta propia,365,0.0039235920754189645
2019,Empleado,69550,0.7835560262274397
2019,Empresario/a o patrón/a,673,0.0075820734097924785
2019,Estudiante,10134,0.11417047835785583
2019,No informa,3060,0.03447421193754084
2019,Otras actividades,4624,0.05209436470561727
2019,Trabajador por cuenta propia,721,0.008122845361753903
2020,Empleado,60255,0.8104999798232517
2020,Empresario/a o patrón/a,183,0.002461563294459465
2020,Estudiante,7589,0.10208089530957858
2020,No informa,2217,0.02982123400992696
2020,Otras actividades,3748,0.050414968457016804
2020,Trabajador por cuenta propia,351,0.004721359105766515
2021,Empleado,16474,0.769237952932387
2021,Empresario/a o patrón/a,71,0.0033152782966006725
2021,Estudiante,1957,0.09138027642883825
2021,No informa,226,0.010552857676503548
2021,Otras actividades,2453,0.11454053044452746
2021,Trabajador por cuenta propia,235,0.01097310422114307
2022,Empleado,17703,0.18870921320527442
2022,Empresario/a o patrón/a,64,6.822227670529043e-4
2022,Estudiante,2175,0.023184914349063543
2022,No informa,70050,0.746714138000874
2022,Otras actividades,3482,0.03711718241997207
2022,Trabajador por cuenta propia,337,0.003592329257762949
2023,Empleado,38915,0.33997885779684267
2023,Empresario/a o patrón/a,334,0.002917973493618025
2023,Estudiante,8633,0.07542175200719883
2023,No informa,59510,0.519905995823978
2023,Otras actividades,5284,0.04616338904274744
2023,Trabajador por cuenta propia,1787,0.015612031835615003
2024,Empleado,88438,0.6615847272509651
2024,Empresario/a o patrón/a,953,0.007129178012507855
2024,Estudiante,15077,0.11278763577605554
2024,No informa,17036,0.12744247284478888
2024,Otras actividades,7085,0.05300128669319848
2024,Trabajador por cuenta propia,5087,0.03805469942248422
2025,Empleado,43829,0.6558380343862694
2025,Empresario/a o patrón/a,504,0.0075416361160574
2025,Estudiante,10106,0.15122177497792874
2025,No informa,4238,0.06341558305526045
2025,Otras actividades,5253,0.07860360023343159
2025,Trabajador por cuenta propia,2899,0.043379371231052385
