region,total,region_label,region_plot
Arica y Parinacota,1396,Arica y Parinacota,Arica y Parinacota
Tarapacá,2700,Tarapacá,Tarapacá
Antofagasta,5182,Antofagasta,Antofagasta
Atacama,1186,Atacama,Atacama
Coquimbo,2026,Coquimbo,Coquimbo
Valparaíso,4405,Valparaíso,Valparaíso
Metropolitana,39657,Metropolitana,Metropolitana
O'Higgins,0,O'Higgins,O'Higgins
Maule,1848,Maule,Maule
Ñuble,483,Ñuble,Ñuble
Biobío,2100,Biobío,Biobío
La Araucanía,759,La Araucanía,La Araucanía
Los Ríos,281,Los Ríos,Los Ríos
Los Lagos,1386,Los Lagos,Los Lagos
Aysén,0,Aysén,Aysén
Magallanes,0,Magallanes,Magallanes
