tipo_residencia,ano,solicitudes,aprobadas,tasa
Definitiva,2000,11679,18745,1.6050175528726776
Definitiva,2001,8891,8230,0.9256551569002361
Definitiva,2002,11507,11054,0.9606326583818545
Definitiva,2003,12080,8526,0.705794701986755
Definitiva,2004,13917,13146,0.9446001293382195
Definitiva,2005,13354,12032,0.9010034446607758
Definitiva,2006,13281,11756,0.8851743091634666
Definitiva,2007,16715,14781,0.884295542925516
Definitiva,2008,23241,15866,0.6826728626134848
Definitiva,2009,43514,43006,0.9883255963597922
Definitiva,2010,20669,17088,0.8267453674585128
Definitiva,2011,24825,18811,0.7577442094662639
Definitiva,2012,28340,27315,0.9638320395201129
Definitiva,2013,34065,25987,0.7628651108175547
Definitiva,2014,48548,36015,0.7418431243305594
Definitiva,2015,50705,48853,0.9634750024652401
Definitiva,2016,79260,53578,0.6759777946000505
Definitiva,2017,111695,87747,0.7855946998522763
Definitiva,2018,126285,93027,0.736643306806034
Definitiva,2019,149888,88762,0.5921888343296328
Definitiva,2020,57700,74343,1.2884402079722703
Definitiva,2021,52049,21416,0.41145843339929683
Definitiva,2022,89350,93811,1.0499272523782877
Definitiva,2023,197016,114463,0.5809832703942827
Definitiva,2024,122983,133676,1.086946976411374
Definitiva,2025,91656,66829,0.7291284804049926
Temporal,2000,23875,19640,0.8226178010471205
Temporal,2001,27063,27668,1.0223552451686806
Temporal,2002,31048,27497,0.8856287039422829
Temporal,2003,31937,33545,1.0503491248395278
Temporal,2004,35456,34636,0.9768727436823105
Temporal,2005,40838,43101,1.055414075126108
Temporal,2006,52048,51995,0.9989817091915155
Temporal,2007,86248,89702,1.0400473054447639
Temporal,2008,68509,70588,1.0303463778481659
Temporal,2009,56416,60430,1.0711500283607487
Temporal,2010,66357,70201,1.057929080579291
Temporal,2011,81309,81557,1.0030500928556494
Temporal,2012,102994,107354,1.042332563061926
Temporal,2013,133082,135454,1.0178235974812522
Temporal,2014,147753,139848,0.9464985482528273
Temporal,2015,157857,173560,1.0994761081231748
Temporal,2016,196154,179805,0.9166522222335511
Temporal,2017,275390,263021,0.9550855150876938
Temporal,2018,447019,438345,0.9805959030824193
Temporal,2019,286272,328310,1.1468463559132573
Temporal,2020,127486,198562,1.5575200414163124
Temporal,2021,276040,98847,0.3580894073322707
Temporal,2022,86218,252631,2.9301421976849382
Temporal,2023,125933,90314,0.7171591242962527
Temporal,2024,216084,145608,0.6738490586993947
Temporal,2025,280029,241571,0.8626642240625078
