ano,evento,total
2010,Rechazos,416
2010,Reconocimientos,17
2010,Solicitantes,219
2011,Rechazos,116
2011,Reconocimientos,62
2011,Solicitantes,283
2012,Rechazos,186
2012,Reconocimientos,56
2012,Solicitantes,169
2013,Rechazos,189
2013,Reconocimientos,56
2013,Solicitantes,248
2014,Rechazos,128
2014,Reconocimientos,46
2014,Solicitantes,283
2015,Rechazos,52
2015,Reconocimientos,17
2015,Solicitantes,623
2016,Rechazos,49
2016,Reconocimientos,63
2016,Solicitantes,2297
2017,Rechazos,95
2017,Reconocimientos,162
2017,Solicitantes,5723
2018,Rechazos,257
2018,Reconocimientos,166
2018,Solicitantes,5725
2019,Rechazos,666
2019,Reconocimientos,30
2019,Solicitantes,781
2020,Rechazos,2074
2020,Reconocimientos,3
2020,Solicitantes,1627
2021,Rechazos,3083
2021,Reconocimientos,19
2021,Solicitantes,3851
2022,Rechazos,659
2022,Reconocimientos,59
2022,Solicitantes,5138
2023,Rechazos,795
2023,Reconocimientos,201
2023,Solicitantes,3610
2024,Rechazos,1215
2024,Reconocimientos,108
2024,Solicitantes,2498
2025,Rechazos,987
2025,Reconocimientos,163
2025,Solicitantes,556
